Sno,Date,Province/State,Country,lat,lon,Last Update,Confirmed,Deaths,Recovered
240,01/27/2020 20:30:00,Inner Mongolia,Mainland China,44.09448,113.9456,01/27/2020 20:30:00,11,0,0
241,01/27/2020 20:30:00,Guizhou,Mainland China,26.81536,106.8748,01/27/2020 20:30:00,9,0,0
242,01/27/2020 20:30:00,Hong Kong,Hong Kong,22.3193,114.1694,01/27/2020 20:30:00,8,0,0
243,01/27/2020 20:30:00,Ningxia,Mainland China,37.26923,106.1655,01/27/2020 20:30:00,7,0,0
244,01/27/2020 20:30:00,Jilin,Mainland China,43.66657,126.1917,01/27/2020 20:30:00,6,0,0
245,01/27/2020 20:30:00,Macau,Macau,22.1987,113.5439,01/27/2020 20:30:00,6,0,0
246,01/27/2020 20:30:00,Qinghai,Mainland China,35.65945,96.02564,01/27/2020 20:30:00,6,0,0
247,01/27/2020 20:30:00,Taiwan,Taiwan,23.6978,120.9605,01/27/2020 20:30:00,5,0,0
248,01/27/2020 20:30:00,Xinjiang,Mainland China,41.11981,85.17822,01/27/2020 20:30:00,5,0,0
249,01/27/2020 20:30:00,Washington,US,47.7511,-120.7401,01/27/2020 20:30:00,1,0,0
250,01/27/2020 20:30:00,Illinois,US,40.6331,-89.3985,01/27/2020 20:30:00,1,0,0
251,01/27/2020 20:30:00,California,US,36.7783,-119.4179,01/27/2020 20:30:00,2,0,0
252,01/27/2020 20:30:00,Arizona,US,34.0489,-111.0937,01/27/2020 20:30:00,1,0,0
253,01/27/2020 20:30:00,,Japan,35.6762,139.6503,01/27/2020 20:30:00,4,0,1
254,01/27/2020 20:30:00,,Thailand,13.7563,100.5018,01/27/2020 20:30:00,8,0,2
